OBJECTID,ID_POLYGON,ID_COBER,ID_ANCES,INTER_ID,INTER_ANCE,ATRIBUTOS,SUPERF_HA,SUPERF_POR,CODE_ABREV,DESC_COBER,COB_PADRES,LIST_ATRIB,LIST_OBLIG,LIST_OPCIO
6188195,00fccee7-befa-485b-bca4-c81c134b7ece,223,,1,,31,2.60306757698,100.0,LFN,Frutales No Cítricos,221,"+30,35,36",,
6188227,08435952-12f9-43a7-a7ab-b829d3689171,300,,1,,46,7.06462211537,100.0,PST,Pastizal,99,"44,45,46,47",,
6188260,08de9c12-1661-43c8-9f52-b000df676083,300,,1,,46,2.66484255593,100.0,PST,Pastizal,99,"44,45,46,47",,
6188261,12bf92ed-e5db-49cf-bd92-3becb733b10c,223,,1,,31,3.07284702709,100.0,LFN,Frutales No Cítricos,221,"+30,35,36",,
6188270,54a00e85-06c9-4391-9b9a-5031152a9009,223,,1,,31,2.25309847473,100.0,LFN,Frutales No Cítricos,221,"+30,35,36",,
6188274,12869002-87b9-4562-92e3-fdaf9f63728f,212,,1,,31,3.37054175585,100.0,CHL,Cultivos Herbáceos distintos de Arroz,210,"+30,35,36",,
6188285,261e9f93-be95-4ff9-8936-27457912cc63,223,,1,,31,46.21467335485,100.0,LFN,Frutales No Cítricos,221,"+30,35,36",,
6188288,34775e3a-f0ec-4591-9163-171922bdb955,223,,1,,31,24.03795063677,100.0,LFN,Frutales No Cítricos,221,"+30,35,36",,
6188332,06dd538a-3569-4e27-a072-7833b645a36e,223,,1,,31,25.83076748506,100.0,LFN,Frutales No Cítricos,221,"+30,35,36",,
6188386,386b4aab-dd1a-4808-9292-d5f15c86719b,223,,1,,31,6.64266281136,100.0,LFN,Frutales No Cítricos,221,"+30,35,36",,
6188395,546e2a92-c73a-4826-b37d-7d26c4724953,212,,1,,31,2.49099412552,100.0,CHL,Cultivos Herbáceos distintos de Arroz,210,"+30,35,36",,
