type,aux info,tag used,org_type,old_label,type_original,area_m2
RES,residential_types,building:house,RES,ID_COBER=813 | CODE_ABREV=UDS | DESC_COBER=Discontinuo | SIOSE_CODE=UDS(60ZAU_20EDFva_20SNE),RES,156.8083902038555
RES,residential_types,building:house,RES,ID_COBER=813 | CODE_ABREV=UDS | DESC_COBER=Discontinuo | SIOSE_CODE=UDS(60ZAU_20EDFva_20SNE),RES,189.4877315005986
RES,residential_types,building:house,RES,ID_COBER=813 | CODE_ABREV=UDS | DESC_COBER=Discontinuo | SIOSE_CODE=UDS(60ZAU_20EDFva_20SNE),RES,137.25849707878353
RES,residential_types,building:house,RES,ID_COBER=813 | CODE_ABREV=UDS | DESC_COBER=Discontinuo | SIOSE_CODE=UDS(60ZAU_20EDFva_20SNE),RES,79.58478848254228
RES,residential_types,building:house,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFem_20VAP_10SNE),RES,157.4168587106406
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,7276.493810311539
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1226.990898882799
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,2397.272251889909
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1630.2509558735246
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1235.9387361632077
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1548.1994857779423
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1545.8733127157318
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1659.0001328900457
NON_RES,non_residential_types,building:warehouse,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,14476.23888267583
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1853.6251109483383
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1206.9542993258615
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1922.6499905593955
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,459.9402433956227
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,491.25231999291356
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1058.6409630715473
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,637.1871493315458
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,545.9004076539889
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1000.2139765901035
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1928.1282866502854
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,652.4545526707176
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,839.8489845409104
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1146.187933590583
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1482.1132660168275
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,777.9648019917868
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,2742.426494252834
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,3742.7372353779683
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1109.1025283731183
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,2039.6671633139651
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,16182.629534284255
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,2587.5241343189136
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,544.331206567087
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1136.9869891132107
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,2127.804458885206
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,856.8737041155988
NON_RES,non_residential_types,building:school,NON_RES,ID_COBER=854 | CODE_ABREV=EDU | DESC_COBER=Educación | SIOSE_CODE=EDU(35SNE_30EDFea_20VAP_15OCT),NON_RES,1161.373266526741
NON_RES,non_residential_types,building:chapel,RES,ID_COBER=600 | CODE_ABREV=missing | DESC_COBER=No Predefinida | SIOSE_CODE=R(40UDS(45SNE_35EDFva_20ZAU)_30LFNsc_15CHLsc_10PSTpc_05EDFem),NON_RES,229.48257148435712
NON_RES,non_residential_types,building:industrial,RES,ID_COBER=813 | CODE_ABREV=UDS | DESC_COBER=Discontinuo | SIOSE_CODE=UDS(60ZAU_20EDFva_20SNE),NON_RES,149.7126080825599
NON_RES,non_residential_types,building:industrial,RES,ID_COBER=813 | CODE_ABREV=UDS | DESC_COBER=Discontinuo | SIOSE_CODE=UDS(60ZAU_20EDFva_20SNE),NON_RES,414.38803868184164
NON_RES,non_residential_types,building:industrial,RES,ID_COBER=813 | CODE_ABREV=UDS | DESC_COBER=Discontinuo | SIOSE_CODE=UDS(60ZAU_20EDFva_20SNE),NON_RES,1305.725862917982
NON_RES,non_residential_types,building:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1016.2116294122987
NON_RES,non_residential_types,building:warehouse,RES,ID_COBER=600 | CODE_ABREV=missing | DESC_COBER=No Predefinida | SIOSE_CODE=R(60IAS(70VAP_20EDFnv_10SNE)_20LFNsc_20UDS(60SNE_20VAP_15EDFva_05ZAU)),NON_RES,2594.476662602877
NON_RES,non_residential_types,landuse:retail,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFem_20VAP_10SNE),NON_RES,318.8917088642259
NON_RES,non_residential_types,amenity:post_depot,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,3659.1379388748774
NON_RES,non_residential_types,amenity:bar,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFem_20VAP_10SNE),NON_RES,2258.6059821669423
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,8909.11411394392
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,4417.349290625573
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1786.6811627594934
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,3189.8177333745216
NON_RES,non_residential_auxiliary_generic_tag,office:company,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,33895.85577932115
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,1182.4820285254962
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,896.1688194000493
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,7217.503622840693
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,ID_COBER=821 | CODE_ABREV=IPO | DESC_COBER=Polígono Industrial Ordenado | SIOSE_CODE=IPO(70EDFnv_20VAP_10SNE),NON_RES,3292.700191701793
