type,aux info,tag used,org_type,old_label,type_original,area_m2
RES,residential_types,building:apartments,NON_RES,Institutional,RES,6432.12729031902
RES,residential_types,building:house,RES,Single Family Detached,RES,230.8479703180564
RES,residential_types,building:apartments,RES,Multifamily,RES,4802.45945212686
RES,residential_types,building:residential,RES,Single Family Attached,RES,702.0438509622957
RES,residential_types,building:residential,RES,Single Family Attached,RES,509.258129436773
RES,residential_types,building:residential,RES,Single Family Attached,RES,481.16460539563616
RES,residential_types,building:residential,RES,Single Family Attached,RES,728.7742916336776
RES,residential_types,building:residential,RES,Single Family Attached,RES,801.6201974273138
RES,residential_types,building:residential,RES,Single Family Attached,RES,421.4643060745574
RES,residential_types,building:residential,RES,Single Family Attached,RES,512.7624617142843
RES,residential_types,building:residential,RES,Single Family Attached,RES,622.6072619540078
RES,residential_types,building:residential,RES,Single Family Attached,RES,717.4474868607258
RES,residential_types,building:residential,RES,Single Family Attached,RES,476.96598096595216
RES,residential_types,building:residential,RES,Single Family Attached,RES,730.5112636141808
RES,residential_types,building:residential,RES,Single Family Attached,RES,350.7969577894659
RES,residential_types,building:residential,RES,Single Family Attached,RES,365.8289669350919
RES,residential_types,building:residential,RES,Single Family Attached,RES,450.8729834764092
RES,residential_types,building:residential,RES,Single Family Attached,RES,299.2450431477034
RES,residential_types,building:residential,RES,Single Family Attached,RES,423.0652574112594
RES,residential_types,building:residential,RES,Single Family Attached,RES,299.1762586786935
RES,residential_types,building:residential,RES,Single Family Attached,RES,294.55207165171703
RES,residential_types,building:residential,RES,Single Family Attached,RES,271.6399550299333
RES,residential_types,building:residential,RES,Single Family Attached,RES,735.7371123426886
RES,residential_types,building:residential,RES,Single Family Attached,RES,351.831757875478
RES,residential_types,building:residential,RES,Single Family Attached,RES,437.54843016648715
RES,residential_types,building:residential,RES,Single Family Attached,RES,352.0495832427514
RES,residential_types,building:residential,RES,Single Family Attached,RES,292.9937887408936
RES,residential_types,building:residential,RES,Single Family Attached,RES,884.6531705548405
RES,residential_types,building:residential,RES,Single Family Attached,RES,702.3155177379214
RES,residential_types,building:residential,RES,Single Family Attached,RES,292.9926393159024
RES,residential_types,building:residential,RES,Single Family Attached,RES,271.6381421669916
RES,residential_types,building:residential,RES,Single Family Attached,RES,352.00524028652404
RES,residential_types,building:residential,RES,Single Family Attached,RES,715.3801201426887
RES,residential_types,building:residential,RES,Single Family Attached,RES,437.49044491519135
RES,residential_types,building:residential,RES,Single Family Attached,RES,437.54966756104875
RES,residential_types,building:residential,RES,Single Family Attached,RES,351.83184754655366
RES,residential_types,building:residential,RES,Single Family Attached,RES,271.6381592361825
RES,residential_types,building:residential,RES,Single Family Attached,RES,326.3120789151095
RES,residential_types,building:residential,RES,Single Family Attached,RES,845.2302258879707
RES,residential_types,building:residential,RES,Single Family Attached,RES,292.99757181861247
RES,residential_types,building:residential,RES,Single Family Attached,RES,271.63942331498293
RES,residential_types,building:residential,RES,Single Family Attached,RES,905.0459139388164
RES,residential_types,building:residential,RES,Single Family Attached,RES,271.6399324485808
RES,residential_types,building:residential,RES,Single Family Attached,RES,703.6015544305069
RES,residential_types,building:residential,RES,Single Family Attached,RES,703.5952650090775
RES,residential_types,building:residential,RES,Single Family Attached,RES,398.2016886511007
RES,residential_types,building:residential,RES,Single Family Attached,RES,718.7157393939241
RES,residential_types,building:residential,RES,Single Family Attached,RES,287.687146251265
RES,residential_types,building:residential,RES,Single Family Attached,RES,682.0687404329412
RES,residential_types,building:residential,RES,Single Family Attached,RES,682.068768908453
RES,residential_types,building:residential,RES,Single Family Attached,RES,717.342224161746
RES,residential_types,building:residential,RES,Single Family Attached,RES,699.3630228345806
RES,residential_types,building:residential,RES,Single Family Attached,RES,318.3330394252561
RES,residential_types,building:residential,RES,Single Family Attached,RES,422.4904249650427
RES,residential_types,building:residential,RES,Single Family Attached,RES,604.0050447093935
RES,residential_types,building:apartments,RES,Multifamily,RES,2066.696042690338
RES,residential_types,building:garages,RES,Multifamily,RES,1149.388652626564
RES,residential_types,building:house,RES,Single Family Detached,RES,180.31897925860815
RES,residential_types,building:house,RES,Single Family Detached,RES,77.20418821482382
RES,residential_types,building:garage,RES,Single Family Detached,RES,53.73007837115992
RES,residential_types,building:garage,RES,Single Family Detached,RES,51.76600478966787
RES,residential_types,building:garage,RES,Single Family Attached,RES,81.48267629796658
RES,residential_types,building:apartments,RES,Multifamily,RES,1159.0170264896008
RES,residential_types,building:garage,RES,Single Family Detached,RES,101.81574942075311
RES,residential_types,building:house,RES,Single Family Detached,RES,71.196820147414
RES,residential_types,building:house,RES,Single Family Detached,RES,162.66139851050153
RES,residential_types,building:garage,RES,Single Family Detached,RES,45.327426263384226
RES,residential_types,building:house,RES,Single Family Detached,RES,114.78699215023897
RES,residential_types,building:house,RES,Single Family Detached,RES,115.02434574624257
RES,residential_types,building:garage,RES,Single Family Detached,RES,38.822979525025815
RES,residential_types,building:house,RES,Single Family Detached,RES,147.26470240230864
RES,residential_types,building:garage,RES,Single Family Detached,RES,39.1332620096703
RES,residential_types,building:garage,RES,Single Family Detached,RES,80.20905822826417
RES,residential_types,building:garage,RES,Single Family Detached,RES,54.8585085155718
RES,residential_types,building:garage,RES,Single Family Detached,RES,42.45892671533425
RES,residential_types,building:garage,RES,Single Family Detached,RES,40.13152457006143
RES,residential_types,building:garage,RES,Single Family Detached,RES,73.36872195216436
RES,residential_types,building:apartments,RES,Multifamily,RES,1215.6184216986103
RES,residential_types,building:garages,RES,Multifamily,RES,566.5062329682697
RES,residential_types,building:garage,RES,Single Family Detached,RES,84.63777254297051
RES,residential_types,building:garage,RES,Single Family Detached,RES,60.57329895005738
RES,residential_types,building:garage,RES,Single Family Detached,RES,50.67206202836526
RES,residential_types,building:garage,RES,Single Family Detached,RES,41.16051590435173
RES,residential_types,building:garage,RES,Single Family Detached,RES,47.62684597941559
RES,residential_types,building:house,RES,Single Family Detached,RES,113.69077424304596
RES,residential_types,building:house,RES,Single Family Detached,RES,134.66981023541445
RES,residential_types,building:garage,RES,Single Family Detached,RES,72.56023367911075
RES,residential_types,building:house,RES,Single Family Detached,RES,95.75530281686542
RES,residential_types,building:house,RES,Single Family Detached,RES,134.04787946317145
RES,residential_types,building:house,RES,Single Family Detached,RES,83.18203029369737
RES,residential_types,building:house,RES,Single Family Detached,RES,110.13679279969878
RES,residential_types,building:garage,RES,Single Family Detached,RES,95.24463224800023
RES,residential_types,building:house,RES,Single Family Detached,RES,94.27241978412313
RES,residential_types,building:house,RES,Single Family Attached,RES,121.62820565418333
RES,residential_types,building:house,RES,Single Family Detached,RES,129.41589892984356
RES,residential_types,building:house,RES,Single Family Detached,RES,170.38133377030692
RES,residential_types,building:house,RES,Single Family Detached,RES,88.89865025274536
RES,residential_types,building:house,RES,Single Family Detached,RES,109.25648903186719
RES,residential_types,building:house,RES,Single Family Attached,RES,109.52161185398394
RES,residential_types,building:house,RES,Single Family Detached,RES,94.79652528123364
RES,residential_types,building:house,RES,Single Family Detached,RES,147.70944780726805
RES,residential_types,building:house,RES,Single Family Detached,RES,124.31692726015814
RES,residential_types,building:shed,RES,Single Family Detached,RES,20.673736012558095
RES,residential_types,building:garage,RES,Single Family Detached,RES,106.32944946732918
RES,residential_types,building:house,RES,Single Family Detached,RES,130.97812328032788
RES,residential_types,building:house,RES,Single Family Attached,RES,112.02567584391113
RES,residential_types,building:garage,RES,Single Family Detached,RES,53.23419112727112
RES,residential_types,building:house,RES,Single Family Detached,RES,135.5081143962842
RES,residential_types,building:garage,RES,Single Family Detached,RES,67.91854720157
RES,residential_types,building:house,RES,Single Family Detached,RES,108.52161313885613
RES,residential_types,building:house,RES,Single Family Detached,RES,82.60110726304787
RES,residential_types,building:house,RES,Single Family Detached,RES,118.49098065006805
RES,residential_types,building:garage,RES,Single Family Detached,RES,38.40677836653374
RES,residential_types,building:garage,RES,Single Family Detached,RES,68.5487788782121
RES,residential_types,building:house,RES,Single Family Detached,RES,83.82578409837404
RES,residential_types,building:apartments,RES,Multifamily,RES,420.5388024709221
RES,residential_types,building:garage,RES,Single Family Detached,RES,50.762535434502134
RES,residential_types,building:house,RES,Single Family Detached,RES,113.18394079208215
RES,residential_types,building:garage,RES,Single Family Detached,RES,56.97285617493738
RES,residential_types,building:garage,RES,Single Family Detached,RES,65.8003495183264
RES,residential_types,building:garage,RES,Single Family Detached,RES,68.9747249835245
RES,residential_types,building:garage,RES,Single Family Detached,RES,72.6721683827825
RES,residential_types,building:house,RES,Single Family Detached,RES,119.34399022761482
RES,residential_types,building:house,RES,Single Family Detached,RES,138.5779944190118
RES,residential_types,building:garage,RES,Single Family Detached,RES,65.64775322303217
RES,residential_types,building:house,RES,Single Family Detached,RES,109.76582071204834
RES,residential_types,building:garage,RES,Single Family Detached,RES,64.95416826082607
RES,residential_types,building:garage,RES,Single Family Detached,RES,86.44128732419516
RES,residential_types,building:garage,RES,Single Family Detached,RES,106.97943390659171
RES,residential_types,building:house,RES,Single Family Detached,RES,106.09841280901526
RES,residential_types,building:house,RES,Single Family Detached,RES,91.33311351028608
RES,residential_types,building:house,RES,Single Family Detached,RES,99.11341733024915
RES,residential_types,building:house,RES,Single Family Detached,RES,200.71611220367492
RES,residential_types,building:house,RES,Single Family Detached,RES,211.0547298380453
RES,residential_types,building:house,RES,Single Family Detached,RES,146.95293663671777
RES,residential_types,building:garage,RES,Single Family Attached,RES,111.67840146156635
RES,residential_types,building:house,RES,Single Family Detached,RES,119.30807915147268
RES,residential_types,building:house,RES,Single Family Attached,RES,92.8038441705039
RES,residential_types,building:apartments,RES,Multifamily,RES,1525.08256561977
RES,residential_types,building:house,RES,Single Family Detached,RES,152.23152933937246
RES,residential_types,building:garage,RES,Single Family Attached,RES,46.14939708032828
RES,residential_types,building:house,RES,Single Family Attached,RES,104.46944604360866
RES,residential_types,building:apartments,RES,Multifamily,RES,496.2718496736226
RES,residential_types,building:apartments,RES,Multifamily,RES,332.6830843988197
RES,residential_types,building:apartments,RES,Multifamily,RES,335.4299857770164
RES,residential_types,building:apartments,RES,Multifamily,RES,345.1063577125022
RES,residential_types,building:apartments,RES,Multifamily,RES,1176.5737222154314
RES,residential_types,building:apartments,RES,Multifamily,RES,332.7201360645562
RES,residential_types,building:apartments,RES,Multifamily,RES,1196.7533603952197
RES,residential_types,building:apartments,RES,Multifamily,RES,345.2421107180048
RES,residential_types,building:apartments,RES,Multifamily,RES,1253.6667342963951
RES,residential_types,building:apartments,RES,Multifamily,RES,1209.6258067510478
RES,residential_types,building:apartments,RES,Multifamily,RES,1261.3091810290778
RES,residential_types,building:apartments,RES,Multifamily,RES,1263.230732983576
RES,residential_types,building:apartments,RES,Multifamily,RES,1249.067941950965
RES,residential_types,building:apartments,RES,Multifamily,RES,1337.659042829405
RES,residential_types,building:apartments,RES,Multifamily,RES,1359.9698504739295
RES,residential_types,building:apartments,RES,Multifamily,RES,1291.1024734313517
RES,residential_types,building:apartments,NON_RES,Institutional,RES,1819.843064339606
RES,residential_types,building:apartments,RES,Multifamily,RES,1397.596478543627
RES,residential_types,building:garages,RES,Multifamily,RES,202.82227200022876
RES,residential_types,building:apartments,RES,Multifamily,RES,350.82184439796595
RES,residential_types,building:apartments,RES,Multifamily,RES,341.2596729760529
RES,residential_types,building:garages,RES,Multifamily,RES,202.86776411313585
RES,residential_types,building:garages,RES,Multifamily,RES,376.75362663377996
RES,residential_types,building:garages,RES,Multifamily,RES,171.43696561335403
RES,residential_types,building:apartments,RES,Multifamily,RES,350.97099588875426
RES,residential_types,building:garages,RES,Multifamily,RES,809.2595434059635
