type,aux info,tag used,org_type,old_label,type_original,area_m2
RES,residential_types,building:apartments,RES,Multifamily,RES,3704.534524980214
RES,residential_types,building:terrace,RES,Single Family Attached,RES,615.6283772031117
RES,residential_types,building:terrace,RES,Single Family Attached,RES,573.9473392699666
RES,residential_types,building:terrace,RES,Single Family Attached,RES,768.6035972536889
RES,residential_types,building:terrace,RES,Single Family Attached,RES,585.8450710949841
RES,residential_types,building:terrace,RES,Single Family Attached,RES,677.9134549164659
RES,residential_types,building:house,RES,Single Family Detached,RES,95.2132307788414
RES,residential_types,building:house,RES,Single Family Detached,RES,140.0824729822607
RES,residential_types,building:house,RES,Single Family Detached,RES,128.6554018085945
RES,residential_types,building:house,RES,Single Family Detached,RES,125.70747904668872
RES,residential_types,building:house,RES,Single Family Detached,RES,82.69478722923624
RES,residential_types,building:house,RES,Single Family Detached,RES,117.78125443028529
RES,residential_types,building:house,RES,Single Family Detached,RES,142.49092014425923
RES,residential_types,building:house,RES,Single Family Detached,RES,86.09786257538524
RES,residential_types,building:house,RES,Single Family Detached,RES,172.64869999345757
RES,residential_types,building:house,RES,Single Family Detached,RES,64.20697463351561
RES,residential_types,building:house,RES,Single Family Detached,RES,84.20837584976763
RES,residential_types,building:house,RES,Single Family Detached,RES,85.42691321299608
RES,residential_types,building:residential,RES,Single Family Attached,RES,682.5406170815453
RES,residential_types,building:house,RES,Single Family Detached,RES,128.93344661657233
RES,residential_types,building:house,RES,Single Family Detached,RES,144.6763414570103
RES,residential_types,building:house,RES,Single Family Detached,RES,103.49904502096129
RES,residential_types,building:house,RES,Single Family Detached,RES,190.51549335157873
RES,residential_types,building:house,RES,Single Family Detached,RES,100.59576239315636
RES,residential_types,building:house,RES,Single Family Detached,RES,64.8732791469409
RES,residential_types,building:house,RES,Single Family Detached,RES,97.89444691225351
RES,residential_types,building:house,RES,Single Family Detached,RES,104.58995535075005
RES,residential_types,building:house,RES,Single Family Detached,RES,117.78586186305768
RES,residential_types,building:house,RES,Single Family Detached,RES,108.31038184030353
RES,residential_types,building:house,RES,Single Family Detached,RES,308.4575548310431
RES,residential_types,building:house,RES,Single Family Detached,RES,258.8503488244659
RES,residential_types,building:house,RES,Single Family Detached,RES,201.40484670212373
RES,residential_types,building:shed,NON_RES,Industrial or Utility,RES,327.3490498411324
RES,residential_types,building:apartments,RES,Multifamily,RES,4524.026300010451
RES,residential_types,building:apartments,RES,Multifamily,RES,1892.6539821626836
RES,residential_types,building:apartments,RES,Multifamily,RES,1914.5416650193865
RES,residential_types,building:house,RES,Single Family Attached,RES,680.5817030027774
RES,residential_types,building:house,RES,Single Family Attached,RES,941.7226422899699
RES,residential_types,building:house,RES,Single Family Attached,RES,678.1870903755101
RES,residential_types,building:house,RES,Single Family Attached,RES,639.5757574166156
RES,residential_types,building:house,RES,Single Family Attached,RES,537.6427768647012
RES,residential_types,building:house,RES,Single Family Attached,RES,467.81959403511183
RES,residential_types,building:house,RES,Single Family Attached,RES,693.4338026809646
RES,residential_types,building:house,RES,Single Family Attached,RES,554.35919766836
RES,residential_types,building:house,RES,Single Family Attached,RES,940.5438410151232
RES,residential_types,building:house,RES,Single Family Attached,RES,626.5829147194861
RES,residential_types,building:house,RES,Single Family Attached,RES,588.768795745027
RES,residential_types,building:house,RES,Single Family Attached,RES,788.3540295783381
RES,residential_types,building:house,RES,Single Family Attached,RES,916.785342289553
RES,residential_types,building:house,RES,Single Family Attached,RES,955.3513766383822
RES,residential_types,building:house,RES,Single Family Attached,RES,705.4135297218716
RES,residential_types,building:house,RES,Single Family Attached,RES,483.4536963046337
RES,residential_types,building:house,RES,Single Family Attached,RES,484.75588264765537
RES,residential_types,building:house,RES,Single Family Attached,RES,992.9908997130859
RES,residential_types,building:house,RES,Single Family Attached,RES,439.4866833217819
RES,residential_types,building:house,RES,Single Family Attached,RES,670.897888310115
RES,residential_types,building:house,RES,Single Family Attached,RES,967.8713331210608
