type,aux info,tag used,org_type,old_label,type_original,area_m2
RES,residential_types,building:residential,NON_RES,Office,RES,855.9758274656234
RES,residential_types,building:apartments,RES,Multifamily,RES,390.1058399233092
RES,residential_types,building:apartments,RES,Multifamily,RES,408.1211273283816
RES,residential_types,building:apartments,RES,Multifamily,RES,852.3668731889175
RES,residential_types,building:apartments,RES,Multifamily,RES,2333.8728853446974
RES,residential_types,building:apartments,RES,Multifamily,RES,3106.520036257046
RES,residential_types,building:apartments,RES,Multifamily,RES,1102.0812499333156
RES,residential_types,building:apartments,RES,Multifamily,RES,2227.412178340578
RES,residential_types,building:apartments,RES,Multifamily,RES,2506.115184193587
RES,residential_types,building:terrace,RES,Single Family Attached,RES,719.6262487876122
RES,residential_types,building:apartments,RES,Multifamily,RES,2313.403388628943
RES,residential_types,building:house,RES,Single Family Detached,RES,228.21064096292423
RES,residential_types,building:house,RES,Single Family Detached,RES,130.67892699481135
RES,residential_types,building:house,RES,Single Family Detached,RES,126.86886072067566
RES,residential_types,building:house,RES,Single Family Detached,RES,218.39602726816418
RES,residential_types,building:house,RES,Single Family Detached,RES,120.32435714457364
RES,residential_types,building:house,RES,Single Family Detached,RES,133.4503048416451
RES,residential_types,building:house,RES,Single Family Detached,RES,211.09496603981174
RES,residential_types,building:house,RES,Single Family Detached,RES,138.23595333310345
RES,residential_types,building:house,RES,Single Family Detached,RES,201.85587130061805
RES,residential_types,building:house,RES,Single Family Detached,RES,141.62734699879417
RES,residential_types,building:apartments,RES,Single Family Detached,RES,163.81120314713618
RES,residential_types,building:house,RES,Single Family Detached,RES,158.03336392039697
RES,residential_types,building:house,RES,Single Family Detached,RES,220.32039039757564
RES,residential_types,building:house,RES,Single Family Detached,RES,133.70576723209751
RES,residential_types,building:house,RES,Single Family Detached,RES,129.08013766289395
RES,residential_types,building:house,RES,Single Family Detached,RES,219.63199231735283
RES,residential_types,building:house,RES,Single Family Detached,RES,229.206206865688
RES,residential_types,building:house,RES,Single Family Detached,RES,224.42457350852118
RES,residential_types,building:house,RES,Single Family Detached,RES,283.8944053572315
RES,residential_types,building:house,RES,Single Family Detached,RES,305.0983194597157
RES,residential_types,building:apartments,RES,Single Family Attached,RES,570.3694588185331
RES,residential_types,building:apartments,RES,Single Family Attached,RES,633.8248295023702
RES,residential_types,building:apartments,RES,Single Family Attached,RES,538.553890692227
RES,residential_types,building:apartments,RES,Single Family Attached,RES,387.50897000219703
RES,residential_types,building:apartments,RES,Single Family Attached,RES,761.561414775242
RES,residential_types,building:apartments,RES,Single Family Attached,RES,574.7807414666659
RES,residential_types,building:apartments,RES,Single Family Attached,RES,364.91043106375724
RES,residential_types,building:apartments,RES,Single Family Attached,RES,542.9867370285924
RES,residential_types,building:apartments,RES,Single Family Attached,RES,539.0345210660762
RES,residential_types,building:apartments,RES,Single Family Attached,RES,565.678041646927
RES,residential_types,building:apartments,RES,Single Family Attached,RES,387.8110702961584
RES,residential_types,building:apartments,RES,Single Family Attached,RES,712.539914439234
RES,residential_types,building:apartments,RES,Single Family Attached,RES,550.4479652405354
RES,residential_types,building:apartments,RES,Single Family Attached,RES,550.5417219198197
RES,residential_types,building:apartments,RES,Single Family Attached,RES,542.417827153762
RES,residential_types,building:apartments,RES,Single Family Attached,RES,561.502535007856
RES,residential_types,building:apartments,RES,Single Family Attached,RES,622.2095206729973
RES,residential_types,building:apartments,RES,Single Family Attached,RES,573.0622563353779
RES,residential_types,building:house,RES,Single Family Attached,RES,596.5615504730821
RES,residential_types,building:apartments,RES,Single Family Attached,RES,627.2290447280591
RES,residential_types,building:apartments,RES,Single Family Attached,RES,610.8077858050419
RES,residential_types,building:apartments,RES,Single Family Attached,RES,702.3890917435878
RES,residential_types,building:house,RES,Single Family Attached,RES,607.2083355467468
RES,residential_types,building:apartments,RES,Single Family Attached,RES,619.5691782908474
RES,residential_types,building:house,RES,Single Family Attached,RES,504.98720075738595
RES,residential_types,building:apartments,RES,Single Family Attached,RES,735.141203081993
RES,residential_types,building:apartments,RES,Single Family Attached,RES,540.3430290043297
RES,residential_types,building:apartments,RES,Single Family Attached,RES,635.8624841446036
RES,residential_types,building:house,RES,Single Family Detached,RES,153.29459849525853
RES,residential_types,building:house,RES,Single Family Detached,RES,146.4890862975216
RES,residential_types,building:house,RES,Single Family Detached,RES,136.9668313007645
RES,residential_types,building:house,RES,Single Family Detached,RES,136.4296562800962
RES,residential_types,building:house,RES,Single Family Detached,RES,144.14825155520978
RES,residential_types,building:house,RES,Single Family Detached,RES,189.89832414146173
RES,residential_types,building:house,RES,Single Family Detached,RES,141.46676556274159
RES,residential_types,building:house,RES,Single Family Detached,RES,155.3149882141725
RES,residential_types,building:house,RES,Single Family Detached,RES,227.68699839681463
RES,residential_types,building:house,RES,Single Family Detached,RES,137.49284366113184
RES,residential_types,building:house,RES,Single Family Detached,RES,116.218798227274
RES,residential_types,building:house,RES,Single Family Detached,RES,147.52036496562587
RES,residential_types,building:house,RES,Single Family Detached,RES,143.40584990976745
RES,residential_types,building:house,RES,Single Family Detached,RES,141.87032127541192
RES,residential_types,building:house,RES,Single Family Detached,RES,136.53180485138347
